FileDate,Type,LeadCV,Area,FileTime,_id,Strength,Name,Location,LeadEdge,
29-Oct-2015,2,4089,303,17:22:48,56328e2f182da77ce66b0119,81,4304_FF1234168_0002.csv,276,12,
29-Oct-2015,2,4089,147,17:22:48,56328e2f182da77ce66b011a,80,4304_FF1234168_0002.csv,207,8,
29-Oct-2015,2,4058,368,17:22:48,56328e2f182da77ce66b011b,80,4304_FF1234168_0002.csv,2940,9,
29-Oct-2015,2,4089,294,17:22:48,56328e2f182da77ce66b011c,79,4304_FF1234168_0002.csv,212,12,
29-Oct-2015,2,4089,159,17:22:48,56328e2f182da77ce66b011d,79,4304_FF1234168_0002.csv,243,6,
29-Oct-2015,2,4089,208,17:22:48,56328e2f182da77ce66b011e,79,4304_FF1234168_0002.csv,272,10,
29-Oct-2015,2,4090,288,17:22:48,56328e2f182da77ce66b011f,79,4304_FF1234168_0002.csv,343,14,
29-Oct-2015,2,4088,201,17:22:48,56328e2f182da77ce66b0120,77,4304_FF1234168_0002.csv,240,9,
29-Oct-2015,2,4088,239,17:22:48,56328e2f182da77ce66b0121,76,4304_FF1234168_0002.csv,400,12,
29-Oct-2015,2,4090,225,17:22:48,56328e2f182da77ce66b0122,75,4304_FF1234168_0002.csv,226,14,
29-Oct-2015,2,4089,203,17:22:48,56328e2f182da77ce66b0123,75,4304_FF1234168_0002.csv,362,11,
29-Oct-2015,2,4088,291,17:22:48,56328e2f182da77ce66b0124,75,4304_FF1234168_0002.csv,409,14,
29-Oct-2015,2,4089,278,17:22:48,56328e2f182da77ce66b0125,75,4304_FF1234168_0002.csv,417,14,
29-Oct-2015,2,4055,134,17:22:48,56328e2f182da77ce66b0126,75,4304_FF1234168_0002.csv,2920,3,
29-Oct-2015,2,4088,278,17:22:48,56328e2f182da77ce66b0127,74,4304_FF1234168_0002.csv,285,15,
29-Oct-2015,2,4059,139,17:22:48,56328e2f182da77ce66b0128,74,4304_FF1234168_0002.csv,2952,16,
29-Oct-2015,2,4090,331,17:22:48,56328e2f182da77ce66b0129,73,4304_FF1234168_0002.csv,288,15,
29-Oct-2015,2,4089,225,17:22:48,56328e2f182da77ce66b012a,71,4304_FF1234168_0002.csv,208,9,
29-Oct-2015,2,4088,243,17:22:48,56328e2f182da77ce66b012b,71,4304_FF1234168_0002.csv,223,15,
29-Oct-2015,2,4088,204,17:22:48,56328e2f182da77ce66b012c,71,4304_FF1234168_0002.csv,399,11,
29-Oct-2015,2,4089,259,17:22:48,56328e2f182da77ce66b012d,70,4304_FF1234168_0002.csv,281,14,
29-Oct-2015,2,4088,225,17:22:48,56328e2f182da77ce66b012e,70,4304_FF1234168_0002.csv,418,14,
29-Oct-2015,2,4088,309,17:22:48,56328e2f182da77ce66b012f,69,4304_FF1234168_0002.csv,410,15,
29-Oct-2015,2,4091,159,17:22:48,56328e2f182da77ce66b0130,68,4304_FF1234168_0002.csv,44,9,
29-Oct-2015,2,4086,406,17:22:48,56328e2f182da77ce66b0131,68,4304_FF1234168_0002.csv,329,4,
29-Oct-2015,2,4089,243,17:22:48,56328e2f182da77ce66b0132,66,4304_FF1234168_0002.csv,209,10,
29-Oct-2015,2,4088,147,17:22:48,56328e2f182da77ce66b0133,66,4304_FF1234168_0002.csv,217,14,
